title,rate,comments,likes,shares,total_time,number people,difficulty,cost,time_preparation,time_cooking,ingredients,recipe,link,gender
Tiramisu au lait concentré sucré,5,1,85,1,1h20,10,très facile,bon marché,20 min,1 h,"['tube de lait concentré sucré à pâtisser nestle 170 g', 'cuillère à soupe de nescafé espresso azera original', 'g de mascarpone', 'g de crème liquide entière', 'boîte de biscuit à la cuillère (une trentaine)', ""ml d'eau""]","Montez la crème très froide en chantilly. Fouettez le mascarpone, puis ajoutez le Lait Concentré Sucré en filet et continuez à fouetter pendant une minute, jusqu'à l'obtention d'une texture assez ferme. A l'aide d'une spatule, ajoutez la crème fouettée au mélange. Reconstituez le café dans l'eau. Trempez rapidement les biscuits dans le café et répartissez-les dans le fond de votre plat. Répartissez la moitié de la crème sur les biscuits puis recouvrez de biscuits trempés, et terminez en recouvrant du restant de crème. Lissez et réserver au frais pendant 1 heure. Saupoudrer de cacao avant de servir votre tiramisu express !",https://www.marmiton.org/recettes/recette_tiramisu_372184.aspx,pas noel
Ratatouille,4.8,370,38k,649,1h20,4,facile,Coût moyen,25 min,55 min,"[""g d'aubergine"", 'g de courgette', 'g de poivron de couleur rouge et vert', ""g d'oignon"", 'g de tomate bien mûres', ""gousses d'ail"", ""cuillères à soupe d'huile d'olive"", 'brin de thym', 'feuille de laurier', 'poivre', 'sel']","Coupez les tomates pelées en quartiers, les aubergines et les courgettes en rondelles. Emincez les poivrons en lamelles et l'oignon en rouelles. Chauffez 2 cuillères à soupe d'huile dans une poêle et faites-y fondre les oignons et les poivrons. Lorsqu'ils sont tendres, ajoutez les tomates, l'ail haché, le thym et le laurier. Salez, poivrez et laissez mijoter doucement à couvert durant 45 minutes. Pendant ce temps, préparez les aubergines et les courgettes. Faites les cuire séparemment ou non dans l'huile d'olive pendant 15 minutes. Vérifiez la cuisson des légumes pour qu'ils ne soient plus fermes. Ajoutez les alors au mélange de tomates et prolongez la cuisson sur tout petit feu pendant 10 min. Salez et poivrez si besoin.",https://www.marmiton.org/recettes/recette_ratatouille_23223.aspx,pas noel
Rôti de porc aux champignons et petits lardons,4.6,360,25k,124,1 h,4,facile,bon marché,20 min,40 min,"[""rôti de porc d'1 kg"", 'oignons', 'g de champignon de paris', 'barquette de lardons fumés', 'g de pomme de terre nouvelles', 'poivre', 'sel', 'cuillères à soupe de moutarde forte', ""huile d'olive"", 'cl de lait']","Enduire le rôti de porc de moutarde. Pelez et éplucher 2 gros oignons. Arrosez de lait le fond de votre plat allant au four. Déposez-y les copeaux d'oignons et placez votre rôti de porc au centre du plat. Epluchez les pommes de terre nouvelles que vous placerez autour du rôti, entières. Salez, poivrez. Faîtes revenir dans une casserole les champignons et les lardons. Arroser d'un filet d'huile d'olive les pommes de terre. Mettez votre plat au four (Th 6 - 180°C) pendant 40 mn. Au moment de retourner votre rôti, placer les champignons et les lardons autour du rôti et terminer la cuisson (20 mn environ).",https://www.marmiton.org/recettes/recette_roti-de-porc-aux-champignons-et-petits-lardons_18565.aspx,pas noel
Lasagnes à la bolognaise très facile,4.7,345,29k,1248,1h05,4,très facile,bon marché,20 min,45 min,"['pâtes à lasagne (sans précuisson)', 'g de sauce bolognaise (toute faite genre panzani)', 'g de viande hachée', 'oignon', 'g de gruyère râpé', 'l de lait', 'grosses cuillères à soupe de farine', 'g de beurre']","Couper l'oignon en petits morceaux et faire revenir dans de l'huile d'olive. Quand les oignons ont bien bruni, y ajouter les 350g de steak haché. Faire cuire à feu moyen puis ajouter la sauce bolognaise. Préparez la béchamel. 
Faire fondre le beurre à feu vif. Une fois fondu, rajouter les deux cuillères à soupe de farine puis remuer avec un fouet à feu moyen. Quand le mélange est homogène (très rapide), rajouter progressivement le lait sans arrêter de fouetter pour éviter les grumeaux. Continuer de remuer jusqu'à ce que la béchamel s'épaississe. Mélanger la sauce bolognaise faite précédemment avec la béchamel. Puis dans un plat à gratin, verser une couche de cette préparation puis recouvrir de pâte à lasagne. Refaire la même chose jusqu'à épuisement de la sauce (environ 2 fois). La dernière couche doit être une couche de sauce. Ajouter le gruyère râpé et faire cuire envrion 45 min à 180° (th.6). Pour savoir si les lasagnes sont cuites, piquer avec un couteau, les pâtes à lasagne doivent être fondantes, donc le couteau doit s'enfoncer sans problème.",https://www.marmiton.org/recettes/recette_lasagnes-a-la-bolognaise-tres-facile_70480.aspx,pas noel
Pavé de saumon sur son lit de poireaux,4.7,339,27k,391,45 min,4,facile,Coût moyen,10 min,35 min,"['pavés de saumon', 'poireaux', 'cl de crème fraîche épaisse', 'poivre', 'sel', 'huile', 'curry']","Laver les poireaux et les couper en rondelles (tout le blanc et une partie du vert, environ 3 centimètres). Faire fondre les poireaux dans une poêle avec l'huile, couvercle fermé, pour ne pas qu'ils grillent (environ 15 min). Avant la fin de la cuisson, ajouter sel poivre et curry à sa guise. Disposer ensuite ces poireaux dans un plat allant au four, les recouvrir des pavés de saumon, que l'on peut poivrer si l'on aime, et recouvrir le tout de crème fraîche. Fermer le plat le plus hermétiquement possible avec un papier d'aluminium, et mettre au four à thermostat 6-7 (180°C/190°C), pendant environ 20 min, selon la grosseur du saumon. Bon appétit!",https://www.marmiton.org/recettes/recette_pave-de-saumon-sur-son-lit-de-poireaux_25136.aspx,pas noel
Sablés au Nutella®,4.3,3,0,0,45 min,40,facile,bon marché,20 min,25 min,"['g de nutella®', 'g de farine', 'g de beurre doux à température ambiante', 'sachet de sucre vanillé', 'oeuf', 'g de sucre glace']","Mélanger ensemble la farine et le beurre, jusqu'à obtenir une texture sableuse. Ajouter ensuite le sucre vanillé, le sucre glace tamisé, puis l’œuf battu. Mélanger jusqu'à obtenir une pâte homogène. Laisser reposer 1 heure au réfrigérateur. Préchauffer le four à 180°C. Étaler la pâte sur 3 mm d'épaisseur. Découper la pâte à l'aide d'un emporte-pièce. Disposer les sablés sur une plaque recouverte de papier cuisson et enfourner 12 minutes, en surveillant la coloration. Reformer une boule avec les chutes de pâte et étaler de nouveau sur 3 mm d'épaisseur. Découper la pâte à l'aide d'un emporte pièce. Découper des trous au centre de chaque forme avec un emporte-pièce rond ou avec le dessous d'une douille. Disposer sur une plaque recouverte de papier cuisson et enfourner 12 minutes, en surveillant la coloration. Laisser les sablés refroidir sur une grille. Déposer une petite cuillère à café de Nutella sur chaque sablé plein. Refermer avec un sablé troué.",https://www.marmiton.org/recettes/recette_sables-au-nutella_392390.aspx,pas noel
Gigot de sept heures,4.7,338,22k,48,8 h,10,facile,Coût moyen,1 h,7 h,"[""gigot d'agneau de 2,5 kg"", 'g de couenne', 'g de carotte', ""g d'oignon"", 'g de tomates pelées , épépinées', 'bouquet garni (thym, laurier, persils, clou de girofle)', 'cl de bouillon de boeuf', ""cl d'huile d'olive"", 'cl de cognac', 'cl de vin blanc', 'poivre', 'sel']","Saler et poivrer le gigot, le faire revenir dans de l'huile chaude. Tapisser de couennes le fond d'une cocotte (gras vers l'extérieur). Y déposer le gigot, entourer des carottes, de l'oignons et des tomates. Ajouter le reste des ingrédients, saler et poivrer. Faire cuire 7 heures au four à 170°C (thermostat 5-6). Note de la rédaction Marmiton : cuire à 120°C est plus approprié. 
Surveiller la cuisson et rajouter de l'eau si nécessaire. Rectifier l'assaisonnement et servir à la cuillère dans la cocotte (la particularité de ce gigot est d'être fondant au point qu'on puisse le couper à la cuillère).",https://www.marmiton.org/recettes/recette_gigot-de-sept-heures_12368.aspx,pas noel
Blanquette de veau maison,4.8,332,26k,226,1h45,6,facile,bon marché,45 min,1 h,"[""kg d'épaule de veau ou de tendron de veau coupé en morceaux"", 'carotte', 'poireaux', 'oignon', ""gousse d'ail"", 'échalotes', 'brin de céleri', 'bouquet garni', 'bouquet de persil', 'citron', 'g de champignon de paris', 'cuillères à soupe de vin blanc sec', ""jaunes d'oeuf"", 'dl de crème fraîche', 'cuillère à soupe de farine', 'g de beurre']","Pelez carotte, ail, échalotes et oignon. Hachez ce dernier ainsi que les blancs de poireaux. Coupez les échalotes et la carotte en deux. Portez à ébullition 2 litres d'eau dans un grand faitout, plongez-y les morceaux de viande pendant environ une minute pour les blanchir (blanchir la viande permet d'éliminer les éventuelles impuretés tout en la rendant plus ferme). Egouttez la viande, rincez-la sous l'eau froide et jetez l'eau de cuisson. Replacez la viande dans le faitout rincé. Ajoutez oignon et poireaux hachés, carottes, échalotes, ail, céleri et bouquet garni. Salez, poivrez et mouillez avec le vin. Ajoutez de l'eau pour que la viande et les légumes soient immergés. Couvrez. Portez à ébullition et laissez cuire 1 h 30. Faites cuire dans une poêle, avec 30 g de beurre, les champignons coupés et citronnés 10 min. Préparez un roux blond : faites fondre le reste de beurre dans une casserole, saupoudrez-le avec la farine, mélangez vivement au fouet, puis laissez refroidir. Quand la viande est cuite, mettez-la dans une passoire avec les légumes et récupérez le bouillon de cuisson. Délayez le roux avec ce bouillon et amenez à ébullition en fouettant. Remettez la viande et tous les légumes dans le faitout après avoir retiré bouquet garni, ail, céleri et carotte. Ajoutez les champignons, versez la sauce et réchauffez le tout 10 à 15 mn. Juste avant de servir mélangez la crème et les jaunes d'oeufs, incorporez-les à la sauce en tournant sans laisser bouillir. Ajoutez quelques gouttes de jus de citron. Servez dans un plat creux avec du persil.",https://www.marmiton.org/recettes/recette_blanquette-de-veau-maison_16224.aspx,pas noel
Lasagnes au saumon et aux épinards,4.6,332,30k,365,40 min,4,très facile,Coût moyen,15 min,25 min,"['boîte de lasagnes précuites', 'g de saumon fumé', ""g d'épinards en branches surgelés"", 'parmesan', 'cl de crème liqude', 'poivre et beurre', 'sel']","Préchauffer le four (210°C).
Faire décongeler les épinards suffisamment longtemps à l'avance. Préchauffer le four (210°C). Mettre un peu de beurre dans un plat rectangulaire ou carré allant au four, puis une couche de lasagnes, une couche de saumon, une couche d'épinards et un peu de parmesan. Recommencer l'opération jusqu'à la fin des ingrédients. Verser la crème liquide préalablement salée et poivrée. Remettre un peu de parmesan puis cuire à four chaud pendant 25 mn.",https://www.marmiton.org/recettes/recette_lasagnes-au-saumon-et-aux-epinards_14665.aspx,pas noel
Poulet léger au fromage de chèvre,4.5,329,23k,60,40 min,4,très facile,bon marché,10 min,30 min,"['blancs de poulet', 'poivrons rouges', 'crottins de chavignol', 'ail', 'cumin', 'estragon', 'cannelle', ""huile d'olive"", 'poivre', 'sel']","Coupez les 4 blancs de poulet dans le sens de la longueur. Saupoudrez-les de cannelle, de cumin et de poivre. Déposez du papier aluminium sur la grille de votre four et disposez les 4 morceaux de poulet. Coupez le fromage de chèvre en grosses lamelles et couvrez-en les morceaux de poulet sur la grille. Posez alors par-dessus les quatres moitiés de poulets restants. Coupez les poivrons en 2 et recouvrez chaque poulet fourré au chèvre avec 1 moitié. Coupez la tête d'ail en 4 et disposez-la sur la grille entre les poulets. Ajoutez un léger filet d'huile d'olive sur le tout et une pincée de sel. Mettez au four à thermostat 270°C (2550°C minimum) pendant 25 à 30 mn.",https://www.marmiton.org/recettes/recette_poulet-leger-au-fromage-de-chevre_17726.aspx,pas noel
Bûche roulée mangue citron vert au Nutella®,0,0,0,1,50 min,6,facile,bon marché,40 min,10 min,"['oeufs', 'g de sucre', 'g de farine', 'g de beurre', 'nutella®', 'coco en poudre', ""jaunes d'oeuf"", 'g de sucre', 'feuilles de gélatine', 'citrons verts pour le zeste et le jus', 'cuillère à café de maïzena', 'g de mascarpone', 'mangue']","Pour la préparation du biscuit.
Dans un saladier au bain-marie, mélanger les jaunes d’œufs avec le sucre à l’aide d’un batteur électrique jusqu’à ce que la préparation commence à épaissir.
Incorporer la farine et le beurre fondu, mélanger à l’aide du batteur électrique.
Retirer le saladier du bain marie. Battre les blancs d’œufs en neige et les incorporer délicatement à la pâte, mélanger avec une grande cuillère. Préchauffer le four à 180°C (thermostat 6).
Tapisser une plaque de 30x40cm à pâtisserie de papier sulfurisé. 
Etaler la pâte sur la plaque puis lisser à l’aide de la spatule.
Enfourner pendant 10 à 12 minutes. Laisser refroidir sur une autre plaque et poser un torchon humidifié. Pour la mousse.
Dans une casserole, mélanger les jaunes avec 70 g de sucre, avec un fouet.
Ajouter la maïzena et mélanger le tout.
Verser le jus des 2 citrons et cuire à feu doux, sans cesser de remuer jusqu’à épaississement.
Ajouter les zestes d'un citron vert puis la gélatine essorée et mélanger.
Incorporer le mascarpone à la crème au citron et mélanger. Battre les blancs d’œufs en neige avec un batteur électrique puis incorporer le reste du sucre tout en continuant à battre.
Incorporer délicatement à la crème mascarpone/citron, mélanger avec une grande cuillère Peler puis détailler la mangue en petits dés Montage de la bûche.
Décoller le biscuit et le placer sur du papier film à plat.
Etaler d’abord une couche de Nutella, puis la crème au citron, à l’aide d’une spatule.
Parsemer les dés de mangue et enrouler le biscuit délicatement.
Réenrouler le biscuit dans le film et laisser poser.
Enlever le film et couper les extrémités du biscuit roulé. Décor.
A l’aide d’une poche à douille, faire des pointes avec du Nutella®️.
Ajouter des dés de mangue.
Saupoudrer de copeaux de noix de coco.
Réserver au frais jusqu’à la dégustation.",https://www.marmiton.org/recettes/recette_buche-roulee-mangue-citron-vert-au-nutella_382802.aspx,pas noel
Emincé de poulet aux épices et au miel,4.8,325,29k,112,20 min,3,très facile,bon marché,5 min,15 min,"['escalopes de poulet', 'oignon', 'g de beurre', ""cuillère à soupe d'huile"", ""cuillère à soupe d'ail haché (frais ou surgelé)"", 'cuillère à café de cannelle', 'cuillères à soupe de sauce soja', 'cuillères à café de miel liquide', 'poivre', 'sel']","Coupez l'oignon en quartiers d'environ 1 cm de large et séparez les différentes épaisseurs. Détaillez les escalopes en fines lanières. Dans un wok ou une sauteuse à feu très vif faites revenir le poulet dans le beurre. Lorsqu'il est à peine coloré sur toutes les faces ajoutez l'huile, l'oignon, salez et poivrez. Remuez quelques instants puis ajoutez l'ail puis la cannelle. Arrosez avec 2 cuillères à soupe de sauce soja et mélangez bien. Versez l'eau et délayez une cuillère à café de miel. Faites réduire à gros bouillons. Quand il ne reste presque plus de liquide rajoutez le reste de sauce soja et de miel, retirez du feu et rectifiez l'assaisonnement si nécessaire. Servez avec du riz, des nouilles sautées ou des brocolis 'al dente'. Une variante consiste à mélanger tous les ingrédients pour en faire une marinade pour des brochettes de poulet.",https://www.marmiton.org/recettes/recette_emince-de-poulet-aux-epices-et-au-miel_35498.aspx,pas noel
Rôti de porc de Dijon,4.9,320,26k,198,1h30,6,facile,bon marché,30 min,1 h,"['rôti de porc de 600 grammes environ', ""gousse d'ail"", 'moutarde de dijon forte (quantité selon votre goût)', 'échalotes', 'poivre', 'sel', 'crème (allégée, si vous préférez)']","Piquer le rôti de petites gousses d'ail coupées en deux ou trois, suivant grosseur. Dans une cocotte, le faire dorer quelques minute dans du beurre sur toute les faces. Saler et poivrer. Quand il est bien coloré, le retirer de la cocotte et le badigeonner avec la moutarde forte, remettre ensuite à cuire avec les échalotes, couvrir et laisser mijoter à feu doux pendant +/- 1h30, en retournant de temps en temps. Rajouter de l'eau régulièrement, dès lors que tout le liquide est évaporé. Après ce temps, retirer le rôti et les échalotes, puis rectifier la sauce si nécessaire (avec sel et poivre), puis ajouter la crème fraîche selon votre goût. Couper le rôti en tranches, puis le servir nappé de sauce et accompagné des petites échalotes entières.",https://www.marmiton.org/recettes/recette_roti-de-porc-de-dijon_12145.aspx,pas noel
Filet mignon de porc à la moutarde,4.6,318,56k,211,1h05,4,très facile,Coût moyen,18 min,47 min,"['filet mignon de porc de 600 à 700 g environ', 'cl de vin blanc sec', ""bouillon cube (légumes par exemple) dilué dans de l'eau chaude"", 'cl de crème fraîche', 'g de champignon en boîte', ""moutarde normale ou à l'ancienne"", ""huile d'olive"", 'beurre']","Couper la viande en morceaux et mettre le mélange huile + beurre à chauffer. La faire dorer dans un mélange huile + beurre dans une cocotte. Retirer les morceaux de la cocotte et jeter le surplus de gras. Déglacer la cocotte avec le vin blanc, le bouillon cube, le jus des champignons et la crème (2/3 du pot). Tartiner le filet mignon de moutarde à l'ancienne et le remettre dans la cocotte avec les champignons. Cuire environ 30 min, à feu très doux. En fin de cuisson, ajouter le reste de crème, saler et poivrer. Bon appétit.",https://www.marmiton.org/recettes/recette_filet-mignon-de-porc-a-la-moutarde_36310.aspx,pas noel
Parmentier de confit de canard,4.8,317,39k,853,45 min,4,très facile,Coût moyen,20 min,25 min,"['cuisses de canard confites', 'oignons', 'échalotes', 'pommes de terre (bintje)', 'cuillères à soupe de crème fraîche', 'lait', 'eau', 'pincée de muscade', 'sel', 'poivre']","Lavez et épluchez les pommes de terre, et mettez-les à cuire dans un grand volume d'eau salée. Réchauffez les cuisses de canard au bain-marie pour les extraire de leur graisse. Conservez une cuillère à soupe de graisse de canard. Découpez et hachez grossièrement les cuisses confites (surtout pas de mixer !). Emincer les échalotes et les oignons. Dans une large poêle ou une sauteuse, faites blondir les oignons et les échalotes hachés dans la cuillère à soupe de graisse de canard, à feu très doux. Lorsque ce mélange oignons + échalotes est bien blond, ajoutez le hachis de canard et mettez à feu vif, en mélangeant vivement, pendant 5 minutes. Le hachis de canard doit être finement grillé en surface, mais rester moelleux. Réservez hors du feu. Ecrasez vos pommes de terre à la fourchette (pitié, pas de presse-purée !) et faites une purée moelleuse en ajoutant 50 % d'eau et 50 % de lait. Salez, poivrez, ajoutez une pincée de muscade et la crème fraîche. Préchauffez le four à 200°C (thermostat 6-7). Dans un plat suffisamment haut, étalez la moitié de votre hachis de canard. Mélangez la moitié qui reste avec le même volume de purée, et étalez cette deuxième couche sur la première. Finissez par une troisième couche de purée. Striez le sommet de votre purée avec le dos d'une fourchette. Laissez cuire à four chaud (200°C) pendant 25 min. Vous pouvez également finir la cuisson 3 minutes sous le gril pour obtenir un joli gratiné. Servez avec une salade (mâche, par exemple) et un Cahors léger: ce plat ne paye pas de mine, mais vos convives seront très agréablement surpris !",https://www.marmiton.org/recettes/recette_parmentier-de-confit-de-canard_17048.aspx,pas noel
Tarte au citron meringuée au lait concentré sucré,4.5,11,410,7,55 min,6,très facile,bon marché,20 min,35 min,"['citrons', 'boîte de lait concentré sucré nestlé 397 g', 'pâte sablée', 'oeufs', 'cuillère à soupe de sucre glace']","Préchauffez votre four Th. 7 (200° C).
Déroulez la pâte dans un moule à tarte en conservant la feuille de cuisson. Faites-la cuire à blanc environ 15 minutes selon le mode d'emploi. Dans un saladier, mélangez le lait concentré sucré Nestlé, les jaunes d'œufs, le zeste et le jus des 2 citrons. Montez les blancs d'œufs en neige et incorporez le sucre glace en continuant de battre. Versez la crème au citron sur le fond de tarte et recouvrez de blancs d'œufs en neige à l'aide d'une fourchette. Faites cuire votre tarte environ 20 minutes. 
Si la meringue dore un peu trop vite, recouvrez-la d'une feuille de papier aluminium et continuez la cuisson.",https://www.marmiton.org/recettes/recette_tarte-au-citron-au-lait-concentre_371273.aspx,pas noel
Poulet au curry lait de coco et noix de cajou,4.7,315,45k,22,25 min,3,très facile,bon marché,10 min,15 min,"['filets de poulet ou dinde', 'cl de lait de coco', 'cuillère à café de curry suivant le goût', 'cuillère à soupe de sauce soja', 'poignée de noix de cajou grillées salées (type apéro)', 'cuillère à soupe de maïzena', ""cuillères à soupe d'huile"", 'sel', 'poivre']","Concasser les noix de cajou (j'utilise le culot d'un verre dans une assiette à soupe), on doit obtenir de la poudre et des petits morceaux. Couper les filets de poulet en morceaux d'environ 1 à 2 cm cube ou en lanières fines. Les passer dans la maïzena. Faire chauffer le curry dans l'huile chaude jusqu'à ce que ses parfums s'exhalent. Ajouter le poulet et laisser dorer durant 5 minutes. Verser alors la sauce soja puis la crème. Mélanger puis laisser cuire durant 10 minutes. Ajouter les noix de cajou 5 minutes avant la fin de la cuisson. Saler, poivrer.",https://www.marmiton.org/recettes/recette_poulet-au-curry-lait-de-coco-et-noix-de-cajou_37398.aspx,pas noel
"Blanc de poulet aux endives, champignons et lardons",4.8,313,20k,195,55 min,4,très facile,bon marché,15 min,40 min,"['blancs de poulet', 'endive', 'oignon', 'g de lardons fumés', 'boîte de champignon de paris', 'cuillères à soupe de crème fraîche', 'cuillère à soupe de cognac', 'cuillère à soupe de farine', 'noix de beurre', 'persil', 'poivre', 'sel']","Couper les blancs de poulet en petites lamelles et les fariner. Faire fondre la noix de beurre et y faire revenir les lamelles de poulet, jusqu'à ce qu'elles soient dorées.Saler, poivrer. Ajouter le cognac. Réserver. Faire revenir les lardons avec une noix de beurre, ajouter l'oignon émincé, ainsi que l'endive coupée en tout petits morceaux, laisser mijoter 5 mn environ. Ajouter les champignons, laisser mijoter 5 min. Y ajouter les lamelles de poulet et laisser mijoter à couvert 20 min environ. Au bout de 15 mn, ajouter la crème fraîche. Parsemer de persil juste avant de servir.",https://www.marmiton.org/recettes/recette_blanc-de-poulet-aux-endives-champignons-et-lardons_35733.aspx,pas noel
Rougail saucisse,4.7,311,24k,1370,40 min,4,très facile,bon marché,20 min,20 min,"['saucisses fumées (genre diots de savoie) ou 4 grosses saucisses fumées type montbéliard', 'tomates (en conserve hors saison)', 'oignons', ""gousses d'ail"", 'thym', 'laurier', 'poivre', 'sel', 'cuillère à café de curcuma (safran)', 'piment oiseau (facultatif)', ""huile d'olive""]","Piquez les saucisses et mettez les dans l'eau bouillante pendant 10 mn, dans la même marmite qui vous servira à la préparation du plat afin de garder les saveurs. Videz la marmite. Réservez les saucisses. Faites-y chauffer de l'huile d'olive. Faites revenir les oignons émincés et l'ail écrasé sans qu'ils soient trop colorés. Coupez les saucisses en troncons de 1,5 cm puis faites les revenir avec les oignons. Au bout de 5 mn, ajoutez les tomates coupées en petits morceaux et les aromates (le piment en morceaux). Mélangez le tout puis laisser mijoter sur feu doux en ôtant le couvercle de temps à autre pour éliminer l'excès d'eau. Servez avec du riz thai",https://www.marmiton.org/recettes/recette_rougail-saucisse_22851.aspx,pas noel
Filet mignon de porc aux courgettes,4.8,308,21k,249,45 min,4,très facile,assez cher,20 min,25 min,"['filet mignon de porc (700 à 800 g)', 'kg de courgette', 'g de raisins secs', 'cl de bouillon de volaille dégraissé', ""gousse d'ail"", 'bouquet garni', ""cuillères à soupe d'huile d'olive"", 'g de beurre', 'poivre', 'sel']","Eplucher les courgettes. Les couper en tronçons ou en gros bâtonnets de 5cm de longueur. Faire revenir le filet mignon dans une cocotte dans le mélange huile d'olive et beurre. Lorsqu'il est bien doré, ajouter les courgettes, l'ail écrasé, les raisins secs, le bouquet garni et le bouillon de volaille. Saler et poivrer. Bien mélanger, couvrir et laisser cuire 25mn à feu doux. Découper le filet mignon en tranches fines. Le dresser sur un grand plat entouré de la garniture de courgettes et de raisins et le servir avec de la semoule de couscous cuite à la vapeur.",https://www.marmiton.org/recettes/recette_filet-mignon-de-porc-aux-courgettes_30977.aspx,pas noel
Pommes de terre farcies à l’avocat et au Tartare Ail & Fines herbes,0,0,0,0,1 h,4,facile,bon marché,20 min,40 min,"['g de tartare ail & fines herbes', 'pommes de terre de grosse taille (600g au total)', 'tomates cerise (225g)', ""g d'avocat"", 'oignon rouge (80g)', 'cuillères à soupe de jus de citron (30g)', 'g de zeste de citron', 'g de persil plat', 'g de ciboule', 'g de graines germées et graines de courge', ""g d'huile neutre"", 'goutte de sauce piquante type tabasco (selon les goûts)']","Préchauffer le four à 180°C (thermostat 6). À l’aide d’une fourchette, piquer les pommes de terres et les badigeonner légèrement d’huile neutre. Déposer les pommes de terre sur une plaque recouverte de papier sulfurisé, et enfourner pour 40 minutes. Pendant ce temps, peler et émincer finement l’oignon rouge. 
Hacher la ciboule et le persil plat. Dans un bol, écraser la chair des avocats.
Ajouter le jus de citron, le tabasco, la ciboule, le persil plat ainsi que les oignons rouges. Laver et couper les tomates cerise en deux. À l’aide d’un fouet ou d’une fourchette, délayer le Tartare. Ajouter un tour de moulin de poivre et les zestes d’un citron. Ajouter les tomates cerises et mélanger délicatement. Laisser tiédir les pommes de terre et découper la partie supérieure pour chacune d’entre elles. À l’aide d’une cuillère, creuser une partie de la chair des pommes de terre. 
Conserver la seconde partie de la chair pour une autre recette. Garnir les pommes de terres avec la purée d’avocat et le mélange au fromage frais.
Recouvrir de quelques graines de courge et de graines germées.",https://www.marmiton.org/recettes/recette_pommes-de-terre-farcies-a-l-avocat-et-au-fromage_528892.aspx,pas noel
Escalopes de dinde au boursin,4.3,303,29k,6,50 min,4,très facile,bon marché,20 min,30 min,"['escalopes de dinde', 'boîte de tomates pelées', 'cl de crème fraîche épaisse', ""boursin à l'ail et aux fines herbes"", 'thym', 'poivre', 'sel', 'farine', ""gousses d'ail"", 'pommes de terre']","Coupez vos escalopes en dés de 2 cm environ Dans une cocotte, versez les tomates pelées, les dés d'escalopes, les petites pommes de terre (cuites au préalable), le pot de crème fraîche, le thym, poivre, sel, et l'ail pressé. Laissez mijoter environ 30 min. 5 min avant la fin, rajoutez le boursin entier, puis saupoudrez d'un peu de farine afin d'épaissir la sauce. Servir chaud.",https://www.marmiton.org/recettes/recette_escalopes-de-dinde-au-boursin_10965.aspx,pas noel
"Quiche poireaux, chèvre lardons",4.8,301,46k,128,55 min,4,très facile,bon marché,20 min,35 min,"['g de pâte brisée (ou une pâte toute prête)', 'poireaux', 'g de lardons fumés', 'fromage de chèvre (cottin, bûche...selon les goûts)', 'oeufs', 'cl de crème fraîche', 'cl de lait', 'poivre', 'sel']","Etalez la pâte dans le moule beurré et fariné. Nettoyez puis émincez les blancs des 3 poireaux. Faites dorer les lardons dont vous utiliserez la graisse pour faire revenir les poireaux ensuite. Répartissez lardons et poireaux sur le fond de tarte. Préchauffez le four à 180°C ( Th 6). Dans un bol battez les oeufs, la crème et le lait. Assaisonnez à votre goût puis versez le mélange dans la tarte. Découper le fromage de chèvre en rondelles que vous déposerez sur la quiche. Cuisez au four de 25 à 30 mn.",https://www.marmiton.org/recettes/recette_quiche-poireaux-chevre-lardons_22275.aspx,pas noel
Boeuf bourguignon,4.6,299,40k,726,6 h,4,facile,Coût moyen,1 h,5 h,"['g de bourguignon', 'oignons', 'carottes', 'bouquet garni', 'bouteille de vin rouge assez bon', 'g de beurre', 'sel', 'poivre']","Détailler la viande en cubes de 3 cm de côté, enlever les gros morceaux de gras. Couper l'oignon en morceaux. Le faire revenir dans une poêle au beurre. Une fois transparent, le verser dans une cocotte en fonte de préférence. Procéder de même avec la viande mais en plusieurs fois, jusqu'à ce que tous les morceaux soient cuits. Les ajouter au fur et à mesure dans la cocotte. Ne pas avoir peur d'ajouter du beurre entre chaque fournée. Quand toute la viande est dans la cocotte, déglacer la poêle avec de l'eau ou du vin et faire bouillir en raclant pour récupérer le suc. Saler, poivrer, ajouter au reste. Recouvrir le tout avec une partie du vin et faire mijoter quelques heures avec le bouquet garni et les carottes en rondelles. Le lendemain, faire mijoter au moins 2 heures en plusieurs fois, ajouter du vin ou de l'eau si nécessaire.",https://www.marmiton.org/recettes/recette_boeuf-bourguignon_18889.aspx,pas noel
Saumon à l'échalote,4.7,295,29k,95,25 min,4,très facile,bon marché,10 min,15 min,"['pavés de saumon frais', 'échalotes', 'cuillères à soupe de crème fraîche', 'cuillères à soupe de vinaigre balsamique', 'pointe de moutarde', 'noisette de beurre', 'sel', 'eau']","Mettre les échalotes avec le beurre dans une poêle. Mettre les pavés de saumon quand les échalotes sont translucides, saler légèrement. Quand le saumon est cuit, le réserver dans une assiette. Déglacer les échalotes cuites avec le vinaigre balsamique coupé avec un peu d'eau. Ajouter la pointe de moutarde. Faire mijoter 2-3 mn puis ajouter la crème. Remettre les pavés de saumon dans la poêle juste avant de servir afin de les rechauffer. Miam, Miam... Servir avec du riz ou, pourquoi pas, du chou romanesco!",https://www.marmiton.org/recettes/recette_saumon-a-l-echalote_16226.aspx,pas noel
