title,rate,comments,likes,shares,total_time,number people,difficulty,cost,time_preparation,time_cooking,ingredients,recipe,link,gender,category
Struffoli au Nutella®,0,0,37,0,2h33,4,facile,bon marché,18 min,2 h,"['g de farine', 'g de beurre', 'cuillère à café de levure de boulanger sèche', ""ml d'anisette"", 'gousse de vanille', 'oeufs', 'g de sucre en poudre', 'pincée de sel', 'cuillères à soupe de miel', 'huile de friture']","Mélangez ensemble la farine, les œufs, le beurre fondu, le sucre, la levure, le sel, l'anisette et la vanille égrainée jusqu'à obtenir une pâte souple et élastique. Laissez-la reposer au réfrigérateur au moins 2 heures et demie, recouverte de film plastique. Plus la pâte repose, plus le cœur des struffoli sera tendre. Retirez la pâte du réfrigérateur et roulez la pâte de manière à faire des petits boudins de la grosseur d'un doigt.
Coupez ces boudins en cubes de 2 cm et déposez -les sur une surface farinée. Remplissez une casserole avec de l'huile en suffisance et faites-la chauffer à feu vif jusqu'à atteindre une température de 170°C, sans que l'huile ne fume.
Faites frire les cubes en plusieurs fois. Sortez-les avec une écumoire. Égouttez-les et laissez-les sécher sur du papier absorbant. Chauffez le miel dans une casserole à feu moyen et plongez-y les cubes. Retirez-les, disposez-les en couronne sur une assiette de présentation.
À l'aide d'une poche à douille, décorez la couronne avec des rubans de Nutella® et servez.",https://www.marmiton.org/recettes/recette_struffoli-au-nutella_348755.aspx,pas noel,aperitif/starter
Brick au thon et au poireau,4.6,279,61k,93,40 min,4,facile,bon marché,20 min,20 min,"['feuilles de brick', 'g de thon en boîte', 'poireaux ""moyens""', 'cuillère à café de curry', 'cuillères à soupe de crème fraîche', 'oeuf', 'poivre', 'sel']","Préchauffer le four à 180°C. Emincer les poireaux finement. Les faire cuire à feu doux dans une poêle avec un peu de matière grasse (20 min). Saler et poivrer. Dans un saladier émietter le thon, mettre le curry, la crème et l'oeuf. Bien mélanger. Couper une feuille de brick en deux. Chaque 1/2 feuille vous servira à faire un triangle. Plier la 1/2 feuille en deux dans le sens de la longeur. Vous obtenez ainsi un rectangle de 4 cm de haut sur 25 de long. A 2 cm du bord de droite, déposer 1 cuillère à café de mélange au thon, puis par dessus une cuillère à café de poireaux. Rabattre le coin inférieur droit qui dépasse, puis former votre triangle en rabattant votre préparation successivement vers le haut, puis vers le bas, vers le haut etc... pour former le triangle (comme des samossas). Sceller le triangle avec du blanc d'oeuf. Poser vos triangles ainsi formés (12) sur un plat à tarte et faire cuire 20 mn à 180°C. Servir dès la sortie du four, avec une salade.",https://www.marmiton.org/recettes/recette_brick-au-thon-et-au-poireau_29421.aspx,pas noel,aperitif/starter
Flan de courgettes,4.8,279,28k,1985,50 min,6,très facile,bon marché,15 min,35 min,"['kg de courgette', 'g de gruyère râpé (60 g de gruyère + 40 g de parmesan)', 'cuillères de lait', 'oeufs', 'feuilles de basilic']","Couper les courgettes en très fines rondelles. Les faire revenir dans de l'huile d'olive. Saler, poivrer, cuire environ 10 mm à petit feu. Battre les oeufs et ajouter le fromage + sel + poivre + basilic + lait. Jeter la préparation sur les courgettes. Remuer. NE PAS FAIRE PRENDRE ""L'OMELETTE"". Mettre au four 180°C pendant 35 mn. SERVIR FROID OU CHAUD avec une sauce mayonnaise + ketchup hot.",https://www.marmiton.org/recettes/recette_flan-de-courgettes_23249.aspx,pas noel,aperitif/starter
Cake aux olives et au jambon,4.7,279,26k,171,57 min,6,facile,bon marché,12 min,45 min,"['cl de vin blanc sec', ""cl d'huile d'olive"", 'oeufs', 'g de gruyère râpé', 'g de farine', 'paquet de levure', 'cuillère à café de sel', 'g de jambon en dés', ""g d'olive verte""]","Dans un saladier, travaillez le vin, l'huile et les oeufs cassés un par un. Ajoutez la farine, le gruyère râpé, la farine, la levure, le sel et terminez par le jambon (en dés) et les olives coupées en 2. Faites cuire dans un moule à cake beurré et fariné pendant 45 min, à 190°C (thermostat 6/7).",https://www.marmiton.org/recettes/recette_cake-aux-olives-et-au-jambon_15693.aspx,pas noel,aperitif/starter
Potage velouté poireaux pommes de terre,4.7,271,17k,115,40 min,4,très facile,bon marché,10 min,30 min,"['poireaux', 'pommes de terre', 'l de lait', ""l d'eau"", 'crème fraîche', 'poivre', 'sel', 'basilic ciselé', 'g de beurre']","Faire revenir les poireaux (bien lavés et émincés) avec le morceau de beurre, puis ajouter les pommes de terre. Remuer et ajouter l'eau et le lait. Saler, poivrer. Cuire 1/2 heure. Mixer le potage, puis ajouter la crème fraîche et le basilic ciselé.",https://www.marmiton.org/recettes/recette_potage-veloute-poireaux-pommes-de-terre_18971.aspx,pas noel,aperitif/starter
Sablés au Nutella®,4.3,3,0,0,45 min,40,facile,bon marché,20 min,25 min,"['g de nutella®', 'g de farine', 'g de beurre doux à température ambiante', 'sachet de sucre vanillé', 'oeuf', 'g de sucre glace']","Mélanger ensemble la farine et le beurre, jusqu'à obtenir une texture sableuse. Ajouter ensuite le sucre vanillé, le sucre glace tamisé, puis l’œuf battu. Mélanger jusqu'à obtenir une pâte homogène. Laisser reposer 1 heure au réfrigérateur. Préchauffer le four à 180°C. Étaler la pâte sur 3 mm d'épaisseur. Découper la pâte à l'aide d'un emporte-pièce. Disposer les sablés sur une plaque recouverte de papier cuisson et enfourner 12 minutes, en surveillant la coloration. Reformer une boule avec les chutes de pâte et étaler de nouveau sur 3 mm d'épaisseur. Découper la pâte à l'aide d'un emporte pièce. Découper des trous au centre de chaque forme avec un emporte-pièce rond ou avec le dessous d'une douille. Disposer sur une plaque recouverte de papier cuisson et enfourner 12 minutes, en surveillant la coloration. Laisser les sablés refroidir sur une grille. Déposer une petite cuillère à café de Nutella sur chaque sablé plein. Refermer avec un sablé troué.",https://www.marmiton.org/recettes/recette_sables-au-nutella_392390.aspx,pas noel,aperitif/starter
Pain de courgettes,4.6,269,23k,533,1h10,4,très facile,bon marché,25 min,45 min,"['courgettes (ou 4 moyennes)', ""gousses d'ail"", 'poivre', 'sel', 'basilic', 'oeufs', 'petit pot de crème fraîche', 'biscottes émiettées (chapelure)']","Peler quelques courgettes (selon grosseur), les couper en petits dés, puis les faire revenir à l'huile d'olive 20 à 25 mn avec l'ail haché, le sel, le poivre et le basilic. D'autre part, battre energiquement 4 oeufs, puis y incorporer la crème fraîche et la chapelure. Mélanger le tout aux courgettes. Cuire envirn 45 mn à four moyen, dans un moule à cake beurré et tapissé de rondelles de courgettes. Servir tiède ou froid.",https://www.marmiton.org/recettes/recette_pain-de-courgettes_15371.aspx,pas noel,aperitif/starter
Quiche au poireau et saumon fumé,4.8,266,33k,71,45 min,6,facile,Coût moyen,15 min,30 min,"['pâte brisée', 'poireaux', 'tranches de saumon fumé', 'oeufs', 'g de gruyère râpé', 'cuillères à soupe de crème fraîche allégée', 'cuillères à soupe de lait', 'poivre', 'sel', 'muscade']","Préchauffez le four th.7. Emincez les poireaux (sans les feuilles!), faites les fondre dans un peu de beurre; lorsqu'ils sont  fondus, justement, ajoutez deux bonnes cuillères à soupe de crème, salez, poivrez, et parfumez avec la muscade, selon votre goût. Etalez cette préparation sur le fond de pâte, recouvrir entièrement de saumon fumé (en tranches entières ou en lanières). Mélangez dans un gros bol deux oeufs entiers, deux généreuses cuillères de crème, les six cuillères de lait (ou plus selon la consistance désirée), le gruyère râpé, le sel, le poivre et éventuellement encore un peu de muscade. Versez sur la quiche cette préparation et mettez à cuire environ 30 minutes.",https://www.marmiton.org/recettes/recette_quiche-au-poireau-et-saumon-fume_16938.aspx,pas noel,aperitif/starter
"Tarte légère courgettes, jambon et chèvre gratiné",4.7,261,24k,122,1h25,8,très facile,bon marché,30 min,55 min,"['courgette ou 2 petites', 'g de chèvre en bûche', 'oeufs', 'cl de crème liquide à 5% de m.g', 'poivre', 'sel', 'tranches de jambon', 'g de gruyère râpé', 'pâte brisée']","Eplucher la courgette, la laver, la vider et la couper en cubes. La faire blanchir une quinzaine de minutes dans de l'eau salée.Bien laisser égoutter. Pendant ce temps, dérouler la pâte brisée sur un moule à tarte, la piquer avec une fourchette. Préparer la migaine en mélangeant les oeufs, la crème liquide, sel et poivre. Couper le jambon en petits carrés, puis les disposer dans le fond de la tarte, étaler dessus bien uniformément les courgettes en cubes, puis la migaine. Pour finir, couper quelques rondelles de chèvre et les disposer sur le dessus de la tarte, puis saupoudrer d'un peu de gruyère. Enfourner dans le four préalablement chauffé à 180°C (thermostat 6) pendant environ 40 min.",https://www.marmiton.org/recettes/recette_tarte-legere-courgettes-jambon-et-chevre-gratine_23612.aspx,pas noel,aperitif/starter
Velouté de Potiron et Carottes,4.8,261,17k,140,1 h,4,très facile,bon marché,30 min,30 min,"['kg de potiron', 'g de carotte', 'pommes de terre', ""gousse d'ail"", 'oignon', 'l de lait', 'l de bouillon de volaille', ""cuillère à soupe d'huile d'olive"", 'persil', 'poivre', 'sel', 'muscade', 'cl de crème liquide (facultatif)']","Éplucher et couper en dés le potiron, les pommes de terre, les carottes en rondelles. Emincer l'ail et l'oignon. Faire suer l'oignon dans l'huile d'olive. Ajouter tous les légumes et l'ail puis verser le bouillon et le lait. Saler, poivrer, ""muscader"" et laisser cuire environ une trentaine de minutes. Mixer le tout (ajouter éventuellement la crème) et rectifier l'assaisonnement si nécessaire. Bon appétit !",https://www.marmiton.org/recettes/recette_veloute-de-potiron-et-carottes_19009.aspx,pas noel,aperitif/starter
Muffin forêt noire,4,1,20,0,45 min,8,facile,bon marché,15 min,10 min,"['boîte de lait concentré sucré nestlé 397 g', 'oeufs', 'farine', 'ml de crème fleurette', 'g de chocolat nestlé dessert noir absolu', 'g de griotte surgelées']","Faites décongeler les griottes. Faites fondre 150 g de chocolat cassé en carré 2 minutes au four à micro-ondes à 500W. Ajoutez le lait concentré sucré Nestlé, les oeufs, la farine et les griottes (gardez-en 8). Versez dans un moule à muffin. Faites cuire 17 minutes à 200°C en mode traditionnel. Démoulez et laissez refroidir. Faites des copeaux avec le chocolat restant. 
Battez la crème en chantilly. 
Sur chaque muffin, ajoutez la chantilly, une griotte et des copeaux.",https://www.marmiton.org/recettes/recette_muffin-foret-noire_371306.aspx,pas noel,aperitif/starter
Cake au thon et aux olives,4.6,258,27k,37,1 h,4,très facile,bon marché,20 min,40 min,"['g de thon au naturel', ""g d'olive verte ou noires dénoyautées"", ""g d'emmental râpé"", 'g de farine', 'sachet de levure', 'oeufs', 'cl de lait', ""cl d'huile"", 'beurre', 'farine pour le moule']","Préchauffer le four à 210°C (thermostat 6). Mélanger la farine et la levure dans un saladier, faire un trou au milieu. Y casser les oeufs et mélanger peu à peu le lait et l'huile. Incorporer le thon égoutté et émietté, les olives et le fromage. Verser la préparation dans un moule à cake beurré et fariné. Faire cuire au four pendant 40 mn.",https://www.marmiton.org/recettes/recette_cake-au-thon-et-aux-olives_17384.aspx,pas noel,aperitif/starter
Petite soupe de carottes au lait de coco,4.6,248,14k,105,45 min,6,très facile,bon marché,15 min,30 min,"['g de carotte', 'oignon', 'eau', 'cl de lait de coco']","Faites bouillir l'eau. Brossez les carottes, puis coupez-les en rondelle. Epluchez l'oignon et coupez-le en morceaux. Placez le tout dans l'eau bouillante et salée, et laissez cuire pendant 30 min à feu moyen. Mixez, puis versez le lait de coco. C'est prêt !",https://www.marmiton.org/recettes/recette_petite-soupe-de-carottes-au-lait-de-coco_26236.aspx,pas noel,aperitif/starter
Flan de thon provençal,4.5,240,16k,195,1h05,6,facile,bon marché,20 min,45 min,"['oignons', ""huile d'olive"", 'boîte de tomates pelées', ""gousses d'ail"", 'branche de thym', ""boîte de thon au naturel ou à l'huile (bien égoutté)"", 'oeufs frais (entiers)', 'poivre', 'sel', 'beurre (pour le moule)']","Eplucher les oignons, les hacher finement et les faire fondre doucement dans une poêle avec un peu d'huile d'olive. Ensuite, ajouter les tomates pelées écrasées, l'ail et la branche de thym; laisser cuire 15 min. Pendant ce temps, émietter le thon égoutté, battre les oeufs. Saler et poivrer, puis ajouter le thon et mélanger le tout. Beurrer un moule, et faire cuire 45 min à 240°C (th 8). Servir chaud, tiède ou froid, en compagnie d'une salade verte.",https://www.marmiton.org/recettes/recette_flan-de-thon-provencal_13919.aspx,pas noel,aperitif/starter
Verrines de poires au foie gras,4.8,235,31k,247,25 min,2,très facile,assez cher,15 min,10 min,"['poire rocha (poire du portugal)', 'g de foie gras (canard ou oie, au choix)', 'noix de beurre', 'cuillère à café de sucre de canne', 'cuillère à café de miel', 'mélange 4 épices']","Eplucher la poire, la couper en quatre, enlever le trognon. Et couper chaque quartier en petits dés (environ 1 cm). Faire fondre une noix de beurre dans une poêle, et y jeter les dés de poire. Saupoudrer avec le sucre, et commencer la cuisson en remuant régulièrement. Saupoudrer ensuite avec le mélange quatre épices, selon votre goût, et ajouter la cuillère de miel. Mélanger de temps en temps, et laisser caraméliser un peu. Les dés de poire doivent rester légèrement croquants. La cuisson prend environ 10 min. Retirer du feu et laisser refroidir. Dresser les verrines : pour ce faire, déposer une couche de dés de poire dans le fond du verre. Recouvrir d'une couche de copeaux (ou dés, plus facile à faire) de foie gras. Ensuite, encore une couche de dés de poire. Déguster.",https://www.marmiton.org/recettes/recette_verrines-de-poires-au-foie-gras_43866.aspx,pas noel,aperitif/starter
Tiramisu au lait concentré sucré,5,1,85,1,1h20,10,très facile,bon marché,20 min,1 h,"['tube de lait concentré sucré à pâtisser nestle 170 g', 'cuillère à soupe de nescafé espresso azera original', 'g de mascarpone', 'g de crème liquide entière', 'boîte de biscuit à la cuillère (une trentaine)', ""ml d'eau""]","Montez la crème très froide en chantilly. Fouettez le mascarpone, puis ajoutez le Lait Concentré Sucré en filet et continuez à fouetter pendant une minute, jusqu'à l'obtention d'une texture assez ferme. A l'aide d'une spatule, ajoutez la crème fouettée au mélange. Reconstituez le café dans l'eau. Trempez rapidement les biscuits dans le café et répartissez-les dans le fond de votre plat. Répartissez la moitié de la crème sur les biscuits puis recouvrez de biscuits trempés, et terminez en recouvrant du restant de crème. Lissez et réserver au frais pendant 1 heure. Saupoudrer de cacao avant de servir votre tiramisu express !",https://www.marmiton.org/recettes/recette_tiramisu_372184.aspx,pas noel,aperitif/starter
Blinis,4.6,233,31k,417,20 min,4,très facile,bon marché,15 min,5 min,"['g de farine', 'oeufs', 'g de levure de boulanger', 'cl de lait à température ambiante', 'sel', 'beurre']","Mélanger la levure et le lait. Laisser reposer à température ambiante 5 min. Faire un puits avec la farine et déposer au milieu le sel, la levure et les jaunes d'oeufs. Bien mélanger en mettant progressivement le lait. Laisser de côté pendant 4 h. Monter les blancs en neige et les incorporer délicatement. Cuire chaque blinis dans une petite poêle beurrée de 12 cm au plus.",https://www.marmiton.org/recettes/recette_blinis_23421.aspx,pas noel,aperitif/starter
Velouté de chou- fleur,4.7,230,17k,68,35 min,6,très facile,bon marché,15 min,20 min,"['chou-fleur', 'pommes de terre', ""ml d'eau"", 'bouillon cube de volaille', 'origan', 'poivre', 'sel', 'g de beurre', 'cuillères à soupe de crème fraîche']","Détailler le chou-fleur. Mettre dans une casserole, le chou-fleur découpé (""en fleurs""), les pommes de terre, le bouillon cube, 750 ml d'eau, l'origan et le sel. Faire cuire jusqu'à ce que le tout soit cuit (piquer avec un couteau, qui doit rentrer facilement). Mixer le tout avec le beurre et la crème fraîche. Assaisonner avec du sel et du poivre. Bon appétit !",https://www.marmiton.org/recettes/recette_veloute-de-chou-fleur_28185.aspx,pas noel,aperitif/starter
Quiche provençale,4.7,227,18k,216,1h15,6,facile,bon marché,30 min,45 min,"['pâte feuilletée', 'oeufs', 'petit pot de crème fraîche', 'g de gruyère', 'oignons', 'poivron', 'tomates', 'boîte de thon', 'olives vertes dénoyautées', 'herbes de provence', 'poivre', 'sel']","Dérouler la pate feuilletée en gardant le papier sulfurisé, étaler-là dans un moule à tarte. Couper les 3 tomates en rondelles. Bien les disposer dans le plat. Mettre au frais. Dans une terrine, couper l'oignon en petits dés ainsi que le poivron en fines lamelles. Rajouter les miettes de thon, les 3 oeufs, la creme fraiche, le gruyère et les olives coupées en lamelles. Saler, poivrer. Mettre un peu d'herbes de Provence.Mélanger. Etaler la préparation dans le plat à tarte. Mettre au four 45 mn à thermostat 6 (180°C). Servez légèrement tiède accompagnée d'une salade.",https://www.marmiton.org/recettes/recette_quiche-provencale_13393.aspx,pas noel,aperitif/starter
Quiche lorraine de Sophie,4.8,219,19k,405,35 min,4,très facile,bon marché,5 min,30 min,"['rouleau de pâte brisée', 'oeufs', 'g de crème fraîche', 'g de lardons', 'muscade', 'poivre', 'sel']","Pré-chauffer le four à 200°C (thermostat 6-7).
Dérouler la pâte brisée et la placer dans un plat à tarte. Piquer le fond avec une fourchette. Faire dorer les lardons. Pendant ce temps, mélanger les oeufs battus et la crème fraîche. Une fois les lardons dorés, les mélanger à la préparation aux oeufs. Saler, poivrer, et ajouter la muscade selon votre convenance. Verser la préparation sur le fond de pâte. Mettre au four pendant 30 min.",https://www.marmiton.org/recettes/recette_quiche-lorraine-de-sophie_57113.aspx,pas noel,aperitif/starter
Pancakes légers au fromage blanc,5,5,0,0,15 min,4,facile,bon marché,10 min,5 min,"['g de farine', 'sachet de sucre vanillé', 'oeufs', 'cuillère à café de levure chimique', 'g de beurre', 'cl de lait', 'g de fromage blanc', 'pincée de sel']","Faire chauffer une poêle anti-adhésive. Pendant ce temps, battre les oeufs avec le sucre vanillé et la pincée de sel. Faire fondre le beurre au four micro-ondes et l’incorporer à la préparation. Ajouter la farine, la levure, le fromage blanc. Puis verser le lait petit à petit. 
La pâte doit être lisse et sans grumeaux. Déposer des petits tas de pâte dans la poêle chaude et laisser cuire 1 à 2 minutes. Lorsque des bulles apparaissent sur le dessus, retourner les pancakes et terminer la cuisson. Pour faire le plein de gourmandise, accompagner les pancakes de rondelles de banane et de noix de pécan.",https://www.marmiton.org/recettes/recette_pancakes-legers-au-fromage-blanc_392057.aspx,pas noel,aperitif/starter
Tarte au thon,4.5,211,21k,240,45 min,4,Niveau moyen,Coût moyen,15 min,30 min,"['pâte feuilletée', 'g de thon', 'tomates', 'cuillères à soupe de crème fraîche', 'g de gruyère râpé']","Etaler une pâte feuilletée Sur laquelle on émiette une grosse boîte de thon. Couper des tomates en rondelle et les disposer par-dessus le thon. Sur chaque rondelle de tomate, ajouter une peu de crème fraîche et enfin du fromage râpé. Faire cuire à four chaud environ 30 minutes.
Se mange aussi bien chaud que froid.",https://www.marmiton.org/recettes/recette_tarte-au-thon_11244.aspx,pas noel,aperitif/starter
Rillettes de thon au basilic,4.6,211,28k,79,15 min,4,très facile,bon marché,15 min,no data,"['g de thon au naturel', 'cuillère à soupe de basilic haché', 'cuillères à soupe de crème fraîche', 'cuillère à café de moutarde', 'citron pressé', 'petits suisses', 'paprika', 'poivre', 'sel']","Egoutter le thon et l'émietter à la fourchette. Ajouter dans l'ordre les petits suisses, la crème fraîche, la moutarde, le jus de citron, le basilic, sel et poivre. Mélanger. Placer au frigo au moins une demi-heure et saupouder de paprika au moment de servir. Cette recette peut être servie à l'apéro, sur des toasts ou bien en entrée. Dans ce cas, je mets ma préparation dans des ramequins que je chemise avec du film étirable et je démoule au moment de servir.",https://www.marmiton.org/recettes/recette_rillettes-de-thon-au-basilic_17256.aspx,pas noel,aperitif/starter
Soupe veloutée de potimarron et pommes de terre,4.9,211,14k,889,1h05,4,très facile,bon marché,25 min,40 min,"['potimarron', 'pommes de terre', 'oignons hachés', ""gousses d'ail hachées"", 'cl de crème fraîche', 'cuillère à café de curry', 'pincée de muscade', 'cube de bouillon de poule', 'feuille de laurier', 'sel', 'poivre']","Enlever l'écorce et les pépins du potimarron (il n'est pas obligatoire de le peler, mais dans ce cas, le choisir bio et bien le laver) puis couper la chair en gros morceaux. Eplucher les pommes de terre puis les couper en gros morceaux. Faire revenir les oignons et l'ail hachés dans un peu de beurre à feu doux. Ajouter les pommes de terre et le potimarron, faire revenir 5 min. Couvrir le tout d'eau, ajouter le bouillon de poule (émietté), le curry, la muscade, la feuille de laurier et laisser mijoter environ 30 min à feu doux. Lorsque les légumes sont cuits (vérifier à l'aide d'un couteau), mixer votre préparation. Vérifier l'assaisonnement, saler, poivrer selon votre goût puis ajouter la crème fraîche et laisser mijoter encore 2 ou 3 min. Bon appétit !",https://www.marmiton.org/recettes/recette_soupe-veloutee-de-potimarron-et-pommes-de-terre_41161.aspx,pas noel,aperitif/starter
Cake au thon,4.5,210,26k,641,50 min,4,très facile,bon marché,5 min,45 min,"['g de thon nature en boîte', 'g de gruyère', 'g de farine', 'sachet de levure', 'oeufs', 'cl de lait', ""cl d'huile"", 'poivre']",Mélanger tous les ingrédients en intégrant le thon et le gruyère en dernier. Mettre dans un moule à cake beurré et fariné. Faire cuire 40/45 mn au four thermostat 6-7.,https://www.marmiton.org/recettes/recette_cake-au-thon_13508.aspx,pas noel,aperitif/starter
Bûche roulée mangue citron vert au Nutella®,0,0,0,1,50 min,6,facile,bon marché,40 min,10 min,"['oeufs', 'g de sucre', 'g de farine', 'g de beurre', 'nutella®', 'coco en poudre', ""jaunes d'oeuf"", 'g de sucre', 'feuilles de gélatine', 'citrons verts pour le zeste et le jus', 'cuillère à café de maïzena', 'g de mascarpone', 'mangue']","Pour la préparation du biscuit.
Dans un saladier au bain-marie, mélanger les jaunes d’œufs avec le sucre à l’aide d’un batteur électrique jusqu’à ce que la préparation commence à épaissir.
Incorporer la farine et le beurre fondu, mélanger à l’aide du batteur électrique.
Retirer le saladier du bain marie. Battre les blancs d’œufs en neige et les incorporer délicatement à la pâte, mélanger avec une grande cuillère. Préchauffer le four à 180°C (thermostat 6).
Tapisser une plaque de 30x40cm à pâtisserie de papier sulfurisé. 
Etaler la pâte sur la plaque puis lisser à l’aide de la spatule.
Enfourner pendant 10 à 12 minutes. Laisser refroidir sur une autre plaque et poser un torchon humidifié. Pour la mousse.
Dans une casserole, mélanger les jaunes avec 70 g de sucre, avec un fouet.
Ajouter la maïzena et mélanger le tout.
Verser le jus des 2 citrons et cuire à feu doux, sans cesser de remuer jusqu’à épaississement.
Ajouter les zestes d'un citron vert puis la gélatine essorée et mélanger.
Incorporer le mascarpone à la crème au citron et mélanger. Battre les blancs d’œufs en neige avec un batteur électrique puis incorporer le reste du sucre tout en continuant à battre.
Incorporer délicatement à la crème mascarpone/citron, mélanger avec une grande cuillère Peler puis détailler la mangue en petits dés Montage de la bûche.
Décoller le biscuit et le placer sur du papier film à plat.
Etaler d’abord une couche de Nutella, puis la crème au citron, à l’aide d’une spatule.
Parsemer les dés de mangue et enrouler le biscuit délicatement.
Réenrouler le biscuit dans le film et laisser poser.
Enlever le film et couper les extrémités du biscuit roulé. Décor.
A l’aide d’une poche à douille, faire des pointes avec du Nutella®️.
Ajouter des dés de mangue.
Saupoudrer de copeaux de noix de coco.
Réserver au frais jusqu’à la dégustation.",https://www.marmiton.org/recettes/recette_buche-roulee-mangue-citron-vert-au-nutella_382802.aspx,pas noel,aperitif/starter
Velouté de butternut à la cannelle,4.9,208,10k,613,35 min,4,facile,bon marché,20 min,15 min,"['butternut', 'oignon', 'cube de bouillon', 'cuillère à soupe de crème fraîche', 'pincée de cannelle']","Couper le butternut en gros cubes. Couper grossièrement l'oignon. Faire revenir l'oignon et le butternut dans un fond de beurre. Remuer régulièrement (il ne faut pas que l'oignon roussisse). Une fois que les légumes sont bien revenus, émietter un cube de bouillon au-dessus. Bien remuer pour laisser les légumes s'imprégner du bouillon.
Recouvrir d'eau bouillante, juste au-dessus des légumes.
Laisser cuire jusque que le butternut soit cuit (planter un couteau pour vérifier la cuisson). Mixer. Ajouter une ou deux cuillères de crème fraiche. Saler et poivrer. Ajouter un soupçon de cannelle. C'est prêt et c'est délicieux !",https://www.marmiton.org/recettes/recette_veloute-de-butternut-a-la-canelle_220583.aspx,pas noel,aperitif/starter
"Quiche thon, tomates et mozzarella",4.7,205,21k,201,1h10,4,facile,bon marché,30 min,40 min,"['rouleau de pâte brisée', 'cuillères à café de moutarde', 'boîte de thon au naturel', 'tomates', 'g de mozzarella', 'oeufs', 'cl de crème (semi-épaisse de préférence)', 'cuillère à soupe de farine', 'basilic', 'persil', 'poivre', 'sel']","Préchauffez le four à 200°C (thermostat 6-7). Déroulez la pâte brisée dans un moule à tarte beurré, et piquez le fond à la fourchette. Étalez la moutarde sur le fond de tarte, puis émiettez le thon par dessus. Recouvrez ensuite des tomates coupées en dés, puis de la mozzarella également coupées en petits cubes. Dans un bol, battez les oeufs avec la crème fraîche, puis ajoutez la cuillère à soupe de farine qu'il faut bien délayer; salez et poivrez. Versez cette préparation sur la tarte, puis parsemez de basilic et et de persil. Enfournez la tarte pendant environ 40 min.",https://www.marmiton.org/recettes/recette_quiche-thon-tomates-et-mozzarella_37146.aspx,pas noel,aperitif/starter
Cake aux olives,4.6,204,35k,485,1h10,6,facile,bon marché,20 min,50 min,"['g de farine', 'oeufs', ""cl d'huile"", 'vin blanc sec', ""g d'olive verte dénoyautées"", 'g de jambon coupé en dés', 'g de gruyère râpé', 'sachet de levure', 'poivre', 'beurre pour le moule']","Préchauffer le four à Th 6 (180°C). 
Entretemps, mélanger la farine et les oeufs jusqu'à obtenir un mélange onctueux. Ajouter l'huile et l'équivalent d'1 verre de vin blanc sec. Egoutter les olives, les fariner légèrement et les incorporer à la pâte. Ajouter le jambon, bien malaxer et verser le gruyère râpé et la levure; bien poivrer, mais ne pas saler à cause du jambon! Beurrer un moule à cake, y verser la pâte jusqu'aux 2/3. Enfourner le cake pendant 50 min à Th 6 (180°C). Si le dessus du cake prend une teinte dorée trop rapidement, le couvrir d'une feuille de papier alu et le laisser cuire ainsi.",https://www.marmiton.org/recettes/recette_cake-aux-olives_17638.aspx,pas noel,aperitif/starter
Soupe de courge,4.6,203,17k,228,45 min,4,très facile,bon marché,15 min,30 min,"['kg de courge', ""gousse d'ail"", 'oignons', 'pommes granny', 'gingembre', 'cuillère à café de curry', 'poivre', 'sel', ""huile d'olive""]","Bientôt l'hiver : goûtez la délicieuse soupe à la courge de mon amie hollandaise Johanna (rien à voir avec la soupe à la citrouille de mon enfance !). Dans un autocuiseur, versez de cuillère à soupe d'huile d'olive, faites y revenir les oignons émincés. Ajoutez successivement les pommes épluchées et coupées en gros dés, le gingembre râpé, la gousse d'ail, le curry. Faites revenir 2 mn. Ajouter la courge épluchée et coupée, remuez, ajoutez 1 l à 1 l 1/4 d'eau et deux cubes de bouillon de volaille. Fermez l'autocuiseur, laisser cuire 30 mn dès que la soupape tourne. Ouvrez, mixez, rectifiez l'assaisonnement (sel et poivre) et servez avec crême fraîche et croûtons.",https://www.marmiton.org/recettes/recette_soupe-de-courge_12843.aspx,pas noel,aperitif/starter
Tarte au citron meringuée au lait concentré sucré,4.5,11,410,7,55 min,6,très facile,bon marché,20 min,35 min,"['citrons', 'boîte de lait concentré sucré nestlé 397 g', 'pâte sablée', 'oeufs', 'cuillère à soupe de sucre glace']","Préchauffez votre four Th. 7 (200° C).
Déroulez la pâte dans un moule à tarte en conservant la feuille de cuisson. Faites-la cuire à blanc environ 15 minutes selon le mode d'emploi. Dans un saladier, mélangez le lait concentré sucré Nestlé, les jaunes d'œufs, le zeste et le jus des 2 citrons. Montez les blancs d'œufs en neige et incorporez le sucre glace en continuant de battre. Versez la crème au citron sur le fond de tarte et recouvrez de blancs d'œufs en neige à l'aide d'une fourchette. Faites cuire votre tarte environ 20 minutes. 
Si la meringue dore un peu trop vite, recouvrez-la d'une feuille de papier aluminium et continuez la cuisson.",https://www.marmiton.org/recettes/recette_tarte-au-citron-au-lait-concentre_371273.aspx,pas noel,aperitif/starter
